heading,content
The Bucknellian,"Vol. 106, No. 1 Bucknell University, Lewisburg,"
PA,"17837 August 31, 1990"
L IfiiraflMK- -,
mu,-
msm,"* * * * Mike Klemen/The Bucknellian After a summer of traffic disruption on Route 15, the underpass con necting Bucknell W est and the main campus should be completed in about two weeks."
Route 15 underpass,
nears completion,
Campus prepares implementation,
"of Sojka's ""social-residential"" plan","By Steve Hoerter Staff Writer The University's $450,000 underground walkway, intended to provided safe passage under Route 15 to and from Bucknell West, is scheduled for completion in approximately two weeks, accord ing to Robert Naugle, director of the physical plant. He said that the final lane of Route 15 is scheduled for paving today. Naugle said that this summer was a ""terrible summer for rain, at least as far as construction is con cerned."" The unusually frequent"
Lifestyles,"By Michael M cGandy Staff Writer Historically the relationship between Bucknell students, espe cially those who live off-campus, and the residents of the Borough of Lewisburg has been marked by tension. On the streets and in the neighborhoods of Lewisburg, the differing lifestyles and perceptions of students and local residents per ennially bring them into conflict over such issues as parties, noise level, and property maintenance. ""I think there is always going to be a conflict between student lifestyles and resident lifestyles,"" said Nada Gray, Lewisburg Bor ough Manager. This continuing ten sion between students and resi dents, though, does have its intense periods and its lulls. Presently the University and the Borough of Lewisburg are attempting to mend and improve relations after a stormy month of September last year. According to John Dunlop, dean of student life, the 1989-90 academic year ""began with a bang,"" marked by frequent citations served to Bucknell students for noise disturbance and a rising voice of protest amongst local residents. rains that plagued the Susquehana Valley this summer caused numer ous delays for campus construction projects. Paving of the new parking lot behind Fraternity Row, for example, was delayed until yesterday. The underpass is the latest in a series of measures to optimize safety at the heavily trafficked intersection at the Route 15 entrance to the campus on Moore Avenue. ""W e've become con cerned for the safety of students at this intersection. We have been See UNDERPASS, page 3"
cause,"Yet after that first month, due to concerted efforts on the part of Uni versity and Borough officials, the ""situation improved quickly, appre- By Michael McGandy Staff Writer New and returning students will find the Elaine Langone Center to be a locus of activity on campus for some common and other not-so- common reasons. Sometimes described as the hub of the Univer sity and formerly named the Uni versity Center, the newly rededi cated Langone Center is typically the site where incoming students spend hours upon their arrival to Bucknell. The Center is also under going a major renovation project which adds to the usual turmoil found on the ground floor level. Indeed, despite the name change, the Langone Center remains very much the center of the University for students. Within its By Andrew Cohen Staff Writer Bucknell's Greek system faces a major overhaul this year. On May 12, 1990, the Board of Trustees approved all but one of President Sojka's recommenda tions for improving Bucknell's Greek system. Throughout this year, Sojka, with the aid of stu dents and faculty, will determine means for implementing these recommendations. Sojka announced his wide- ranging proposals for the ""social- residential system"" at an ""Open Forum"" on May 1. Sojka's recom mendations are intended to gener ally enhance the ""social residential system,"" however, the campus was most affected by those recommen dations specifically concerning the Greek system. Under Sojka's plan, fresh men will be able to attend all ""open"" fraternity and sorority par ties in '91-'92. According to Ed Dadez, Associate Dean of Residen tial Life, this year freshmen may visit fraternity houses or sorority suites for the first six weeks of school excluding parties. Last year freshmen were prohibited from fre quenting fraternities and sororities during the first six weeks. Addi tionally, Greek organizations would be limited to two ""closed,"" or invitation-only, parties a month. Sojka's rush proposals also promise to put a new face on the Greek system. After this year, only upperclassmen will be allowed to rush. Rush will take place in '91- '92 during the first ten days of school or anytime after. Also, Sojka proposed that every eligible rushee be guaranteed a bid in some By David Murray Staff Writer Because of a delay caused by the discovery of asbestos, the new Bison, located across from the Bookstore in the Elaine Langone Center, will not open until early November. ""Because of the exten sive nature of the construction, the engineering firm suggested that we should remove it,"" said Mary Dor sey, acting director of the Langone Center. 'T h e removal ate up all of June and most of July,"" said Barry Maxwell, vice president for administration. After the asbestos was brick walls students purchase their books, receive their mail, attend classes, and take their meals. On the floors of the Center one can find a comfortable comer in which to study as well as go to the offices of Residential Life to work out some bureaucratic difficulty. The new Bison and Bullseye being con structed on the ground floor will provide a space for students to eat, socialize, and recreate that was hitherto unknown at Bucknell. Center Renamed The creation of a new Bison and Bullseye is the first major pro ject undertaken in the Center since it was renamed to honor Elaine Langone, wife of Kenneth Langone ' 57 . Originally dedicated in 1970, the Center was rededicated on a weekend in May when the Univer- Greek organization, though not necessarily the organization of the rushee's choice. Living in fraternity houses, and to a lesser extent, sorority suites, will be much different once Sojka's proposals are implemented. All Greek organizations living in ""social-residential"" units will be responsible for hiring live-in house managers. Additionally all stu dents wishing to live off-campus will need written permission from By Bob Ritter Staff Writer As students return for the fall semester, the echoes of hammers and saws can still be heard across the campus. The start of the $9.75 million Biology Building construc tion project is the largest element in a flury of construction that includes the Bison/Bullseye renovation, the Route 15 underpass, the new uphill parking lot, the new Bucknell West intramural fields and the Psychol ogy primate lab renovations. When all of the current activity subsibes, what will be next on the University drawing board? Barry Maxwell, vice presi dent for administration, explained that all major capital improvements arc determined by a construction priority committee, which evaluates all construction requests on a yearly basis, assigning them to one of three categories of urgency. Among the university to do so. This directly affects the ten fraternities that own their houses --  three fra ternity houses are owned by the university, and one fraternity (Kappa Alpha Psi) does not have a house yet. Fraternity members will now have to apply for permission to live in their own houses. Sojka has not yet provided a criteria for who may or may not live off cam pus, which has fraternity members worried that Sojka could use this to the items on this year's highest pri ority list is the renovation of Trax Hall, which Maxwell expects to be approved for next year. Renovation plans include air-conditioned social space on the first floor and two-room doubles, changes designed to accomodate a larger attempt at class-integrated housing ""choke"" fraternity houses of live-in brothers. These changes arc the result of a long process which involved all parts of the Bucknell commu nity. George Jcnks, assistant librar ian in charge of collection develop ment, moved that the university ""take steps to abolish the Greek system..."" in the first '89-'90 See SO JK A , page 3 during the 1991-92 academic year. Work has also begun on the Music and Art building. Maxwell also said that reno vations to Davis Gym, in the sec ond category this year, may move into the top priority category. ciably, and stayed that way,"" said See TOW N-GOW N, page 2"
"U.C. gets name, facelift",
Asbestos delays,
Bison renovations,
Early November opening slated,"removed, Hepco Construction began renovating the space. Hepco, which just finished renovating the golf course club house, was the low bidder on the Bison project. According to Maxwell, the project has been budgeted at $778,000, of which approximately $441,000 will be spent on construction. The con struction figure was ""less than what we anticipated it would be,"" said Maxwell, but the cost of removing the asbestos exceeded those savings. While the new space is being finished, the Bison snack bar has been relocated to the Cave, on the See BISO N , page 2 sity's board o f trustees were con vened for their annual spring meeting. Beside the placing of Elaine Langone's name on the facade of the Center and her portrait in Arches Lounge on the third floor, the biggest change in the actual functioning of the building relative to the rededication is that the name on administrative stationary has changed. All the staff working in the Center and the services they provide have not undergone any transformation due to the May cere mony. The Bison/Bullseye renova tion, though certainly altering the internal shape and character of the building, had been planned far in advance of the rededication and See F A C E L IF T , page 3 See PLANS, page 3 Mike Klemen/The Bucknellian The largest construction project on campus this summer was the start of the $9.75 million Biology Building. The completion of the science complex will cause a realignment of space across campus."
INSIDE-,"E d ito ria l: "" W e lco m e  to  B u ck n ell"""
P -2,"In te rv ie w  w ith D ean G e rd e s A n in-depth interview  on the acad em ic side o f B uckn ell, from the D ean's perspective p. 3 M e rch a n ts o f L e w isb u rg A n advertising guide to the m erchants o f Lew isburg"
P -4,
town-gown strife,
University charts future,
construction projects,page 2
The,
Bucknellian,August 31 1990
